url,name,ticker,address,sector,price,trend,month_return,month_return_pct,Company Type,Listing Status,Industry Sector,Investment Sector,Ticker,Exchange,Previous Day Close,Current Day High & Low,Day's Volume,30 Day Average Volume,52 Week High & Low,Market Cap,Prev. Quarter Dividend,Yield,Prev. Quarter FFO
https://www.reit.com/investing/reit-directory/maa,MAA,MAA,"Memphis, Tennessee",Residential,$104.00,up,4.33,0.04%,REIT,Public,Residential,Equity,MAA,"New York Stock Exchange, Inc. (NYSE)",$103.42,$103.77 - $101.55,"870,799","638,069",$109.11 - $85.39,$11.84 bil,$0.92,3.71,$658.51 mil
https://www.reit.com/investing/reit-directory/sl-green-realty-corp,SL Green Realty Corp.,SLG,"New York, New York",Office,$125.59,up,4.26,0.05%,REIT,Public,Office,Equity,SLG,"New York Stock Exchange, Inc. (NYSE)",$95.71,$95.67 - $92.58,"702,162","742,501",$107.52 - $90.08,$10.71 bil,$0.81,3.55,$904.09 mil
https://www.reit.com/investing/reit-directory/eastgroup-properties-inc,"EastGroup Properties, Inc.",EGP,"Ridgeland, Mississippi",Industrial,$100.40,up,4.50,0.05%,REIT,Public,Industrial,Equity,EGP,"New York Stock Exchange, Inc. (NYSE)",$101.69,$101.90 - $99.93,"172,827","175,215",$101.69 - $78.17,$3.62 bil,$0.72,2.83,$150.84 mil
https://www.reit.com/investing/reit-directory/pebblebrook-hotel-trust,Pebblebrook Hotel Trust,PEB,"Bethesda, Maryland",Lodging / Resorts,$37.50,up,4.05,0.13%,REIT,Public,Lodging/Resorts,Equity,PEB,"New York Stock Exchange, Inc. (NYSE)",$35.73,$35.83 - $34.51,"5,418,582","2,529,797",$41.47 - $31.29,$4.80 bil,$0.25,2.77,$204.21 mil
https://www.reit.com/investing/reit-directory/getty-realty-corp,Getty Realty Corp.,GTY,"Jericho, New York",Retail,N/A,up,4.28,0.16%,REIT,Public,Retail,Equity,GTY,"New York Stock Exchange, Inc. (NYSE)",$31.28,$31.41 - $30.95,"109,635","130,120",$31.28 - $22.69,$0.00,$0.32,4.48,$76.16 mil
https://www.reit.com/investing/reit-directory/cubesmart,CubeSmart,CUBE,"Malvern, Pennsylvania",Self-storage,N/A,up,3.94,0.14%,REIT,Public,Self-storage,Equity,CUBE,"New York Stock Exchange, Inc. (NYSE)",$32.39,$32.48 - $31.89,"1,617,691","1,456,816",$32.97 - $22.94,$0.00,$0.30,3.70,$306.13 mil
https://www.reit.com/investing/reit-directory/liberty-property-trust,Liberty Property Trust,LPT,"Wayne, Pennsylvania",Industrial,N/A,up,4.09,0.10%,REIT,Public,Industrial,Equity,LPT,"New York Stock Exchange, Inc. (NYSE)",$46.46,$46.66 - $45.92,"1,570,920","1,132,748",$46.46 - $38.63,$0.00,$0.40,3.44,$397.29 mil
https://www.reit.com/investing/reit-directory/extra-space-storage-inc,"Extra Space Storage, Inc.",EXR,"Salt Lake City, Utah",Self-storage,$98.70,up,12.08,0.14%,REIT,Public,Self-storage,Equity,EXR,"New York Stock Exchange, Inc. (NYSE)",$99.82,$99.77 - $98.37,"995,425","1,166,082",$100.96 - $74.13,$12.49 bil,$0.86,3.45,$626.25 mil
https://www.reit.com/investing/reit-directory/crown-castle-international-corp,Crown Castle International Corp.,CCI,"Houston, Texas",Infrastructure,N/A,up,10.69,0.10%,REIT,Public,Infrastructure,Equity,CCI,"New York Stock Exchange, Inc. (NYSE)",$117.47,$117.58 - $115.32,"2,308,234","2,586,759",$117.47 - $96.64,$0.00,$1.05,3.83,"$1,822.39 mil"
https://www.reit.com/investing/reit-directory/national-retail-properties-inc,"National Retail Properties, Inc.",NNN,"Orlando, Florida",Retail,$51.50,up,4.14,0.09%,REIT,Public,Retail,Equity,NNN,"New York Stock Exchange, Inc. (NYSE)",$51.09,$51.03 - $50.42,"1,653,755","1,174,901",$51.09 - $36.52,$8.20 bil,$0.50,3.91,$456.85 mil
https://www.reit.com/investing/reit-directory/equity-residential,Equity Residential,EQR,"Chicago, Illinois",Residential,N/A,up,7.22,0.11%,REIT,Public,Residential,Equity,EQR,"New York Stock Exchange, Inc. (NYSE)",$72.65,$72.62 - $71.32,"2,114,191","1,854,519",$72.65 - $55.26,$0.00,$0.54,2.97,"$1,279.03 mil"
https://www.reit.com/investing/reit-directory/ps-business-parks-inc,"PS Business Parks, Inc.",PSB,"Glendale, California",Industrial,$140.57,up,10.45,0.08%,REIT,Public,Industrial,Equity,PSB,"New York Stock Exchange, Inc. (NYSE)",$141.23,$143.10 - $139.31,"87,517","89,546",$142.32 - $108.30,$3.84 bil,$1.05,2.97,$271.61 mil
https://www.reit.com/investing/reit-directory/welltower-inc,Welltower Inc.,WELL,"Toledo, Ohio",Health care,$77.00,up,8.93,0.14%,REIT,Public,Health care,Equity,WELL,"New York Stock Exchange, Inc. (NYSE)",$74.72,$74.56 - $72.99,"3,167,399","2,171,831",$76.53 - $50.01,$28.92 bil,$0.87,4.66,"$1,798.42 mil"
https://www.reit.com/investing/reit-directory/sun-communities-inc,"Sun Communities, Inc.",SUI,"Southfield, Michigan",Residential,N/A,up,7.65,0.08%,REIT,Public,Residential,Equity,SUI,"New York Stock Exchange, Inc. (NYSE)",$108.32,$108.73 - $106.58,"606,105","352,449",$108.32 - $83.96,$0.00,$0.71,2.62,$326.24 mil
https://www.reit.com/investing/reit-directory/terreno-realty-corporation,Terreno Realty Corporation,TRNO,"San Francisco, California",Industrial,N/A,up,3.21,0.09%,REIT,Public,Industrial,Equity,TRNO,"New York Stock Exchange, Inc. (NYSE)",$39.24,$39.18 - $38.46,"323,456","419,798",$39.34 - $32.10,$0.00,$0.24,2.45,$64.42 mil
https://www.reit.com/investing/reit-directory/ventas-inc,"Ventas, Inc.",VTR,"Chicago, Illinois",Health care,$66.00,up,8.64,0.15%,REIT,Public,Health care,Equity,VTR,"New York Stock Exchange, Inc. (NYSE)",$65.42,$65.70 - $64.24,"3,533,097","2,445,228",$71.17 - $46.96,$23.53 bil,$0.79,4.83,"$2,205.67 mil"
https://www.reit.com/investing/reit-directory/life-storage-inc,"Life Storage, Inc.",LSI,"Buffalo, New York",Self-storage,N/A,up,8.91,0.10%,REIT,Public,Self-storage,Equity,LSI,"New York Stock Exchange, Inc. (NYSE)",$101.71,$101.83 - $99.72,"485,650","284,930",$102.24 - $70.59,$0.00,$1.00,3.93,$240.41 mil
https://www.reit.com/investing/reit-directory/epr-properties,EPR Properties,EPR,"Kansas City, Missouri",Specialty,$73.00,up,3.05,0.04%,REIT,Public,Specialty,Equity,EPR,"New York Stock Exchange, Inc. (NYSE)",$71.29,$71.12 - $70.36,"614,605","541,749",$74.31 - $53.04,$5.43 bil,,6.06,$385.52 mil
https://www.reit.com/investing/reit-directory/regency-centers-corporation,Regency Centers Corporation,REG,"Jacksonville, Florida",Retail,$70.01,up,3.06,0.05%,REIT,Public,Retail,Equity,REG,"New York Stock Exchange, Inc. (NYSE)",$65.82,$65.84 - $64.87,"1,241,904",0,$70.37 - $55.58,$0.00,$0.56,3.37,$570.02 mil
https://www.reit.com/investing/reit-directory/prologis-inc,"Prologis, Inc.",PLD,"San Francisco, California",Industrial,$71.25,up,3.21,0.05%,REIT,Public,Industrial,Equity,PLD,"New York Stock Exchange, Inc. (NYSE)",$68.48,$68.45 - $66.70,"2,702,109","2,520,843",$68.65 - $56.94,$44.85 bil,$0.48,2.80,"$1,613.59 mil"
https://www.reit.com/investing/reit-directory/jbg-smith,JBG SMITH,JBGS,"Chevy Chase, Maryland",Diversified,$43.43,up,3.05,0.08%,REIT,Public,Diversified,Equity,JBGS,"New York Stock Exchange, Inc. (NYSE)",$40.25,$40.33 - $39.25,"921,956","870,634",$40.55 - $0.00,$5.25 bil,$0.23,2.24,$97.93 mil
https://www.reit.com/investing/reit-directory/iron-mountain,Iron Mountain,IRM,"Boston, Massachusetts",Specialty,$34.72,up,2.14,0.07%,REIT,Public,Specialty,Equity,IRM,"New York Stock Exchange, Inc. (NYSE)",$34.39,$34.34 - $33.84,"1,600,026","2,077,824",$41.44 - $30.48,$9.94 bil,$0.59,7.11,$822.92 mil
https://www.reit.com/investing/reit-directory/nexpoint-residential-trust-inc,NexPoint Residential Trust Inc.,NXRT,"Dallas, Texas",Residential,N/A,up,3.01,0.09%,REIT,Public,Residential,Equity,NXRT,"New York Stock Exchange, Inc. (NYSE)",$37.30,$37.48 - $36.52,"79,325","144,536",$37.30 - $23.06,$0.00,$0.25,2.95,$33.04 mil
https://www.reit.com/investing/reit-directory/weingarten-realty-investors,Weingarten Realty Investors,WRI,"Houston, Texas",Retail,$29.10,up,1.76,0.06%,REIT,Public,Retail,Equity,WRI,"New York Stock Exchange, Inc. (NYSE)",$28.84,$28.88 - $28.45,"980,424","973,179",$33.60 - $25.79,$3.73 bil,$0.40,5.48,$319.80 mil
https://www.reit.com/investing/reit-directory/healthcare-realty-trust,Healthcare Realty Trust,HR,"Nashville, Tennessee",Health care,N/A,up,2.88,0.10%,REIT,Public,Health care,Equity,HR,"New York Stock Exchange, Inc. (NYSE)",$31.59,$31.74 - $31.05,"1,194,527","759,877",$35.73 - $26.31,$0.00,$0.30,3.80,$185.89 mil
https://www.reit.com/investing/reit-directory/northstar-realty-europe-corp,NorthStar Realty Europe Corp.,NRE,"New York, New York",Office,$16.46,up,2.85,0.22%,REIT,Public,Office,Equity,NRE,NYSE American (NYSEMKT),$16.10,$16.13 - $15.78,"256,424","356,503",$16.51 - $10.13,$819.99 mil,$0.15,3.73,$32.98 mil
https://www.reit.com/investing/reit-directory/four-corners-property-trust,Four Corners Property Trust,FCPT,"Mill Valley, California",Retail,$29.85,up,2.10,0.08%,REIT,Public,Retail,Equity,FCPT,NYSE American (NYSEMKT),$28.38,$28.54 - $28.00,"745,733","323,942",$28.38 - $21.33,$2.02 bil,$0.28,4.05,$87.80 mil
https://www.reit.com/investing/reit-directory/park-hotels-resorts,Park Hotels & Resorts,PK,"Tysons, Virginia",Lodging / Resorts,$31.90,up,2.07,0.07%,REIT,Public,Lodging/Resorts,Equity,PK,"New York Stock Exchange, Inc. (NYSE)",$30.67,$30.77 - $30.16,"1,239,773","1,957,027",$34.01 - $24.42,$6.42 bil,$0.43,6.00,$577.00 mil
https://www.reit.com/investing/reit-directory/safety-income-growth-inc,"Safety, Income & Growth Inc.",SAFE,"New York, New York",Specialty,N/A,up,2.01,0.12%,REIT,Public,Specialty,Equity,SAFE,"New York Stock Exchange, Inc. (NYSE)",$18.96,$19.40 - $18.81,"25,462","24,067",$19.85 - $15.63,$0.00,$0.15,3.16,$4.80 mil
https://www.reit.com/investing/reit-directory/equity-lifestyle-properties-inc,"Equity Lifestyle Properties, Inc.",ELS,"Chicago, Illinois",Residential,N/A,up,6.34,0.07%,REIT,Public,Residential,Equity,ELS,"New York Stock Exchange, Inc. (NYSE)",$102.38,$103.05 - $100.99,"537,888","304,441",$102.38 - $81.55,$0.00,$0.55,2.15,$344.33 mil
https://www.reit.com/investing/reit-directory/corenergy-infrastructure-trust,CorEnergy Infrastructure Trust,CORR,"Kansas City, Missouri",Infrastructure,$37.50,up,1.88,0.05%,REIT,Public,Infrastructure,Equity,CORR,"New York Stock Exchange, Inc. (NYSE)",$37.23,$37.23 - $36.83,"78,350","132,575",$39.14 - $31.90,$448.09 mil,$0.75,8.06,$58.48 mil
https://www.reit.com/investing/reit-directory/national-health-investors-inc,"National Health Investors, Inc.",NHI,"Murfreesboro, Tennessee",Health care,N/A,up,6.30,0.09%,REIT,Public,Health care,Equity,NHI,"New York Stock Exchange, Inc. (NYSE)",$80.15,$80.54 - $78.66,"398,938","227,450",$80.81 - $63.33,$0.00,$1.00,4.99,$199.79 mil
https://www.reit.com/investing/reit-directory/rpt-realty,RPT Realty,RPT,"New York, New York",Retail,N/A,up,1.74,0.14%,REIT,Public,Retail,Equity,RPT,"New York Stock Exchange, Inc. (NYSE)",$14.36,$14.40 - $14.22,"503,198","688,927",$14.83 - $11.26,$0.00,$0.22,6.13,$123.97 mil
https://www.reit.com/investing/reit-directory/aimco,Aimco,AIV,"Denver, Colorado",Residential,N/A,up,4.65,0.11%,REIT,Public,Residential,Equity,AIV,"New York Stock Exchange, Inc. (NYSE)",$47.29,$47.61 - $46.90,"1,572,213","1,359,772",$47.29 - $38.00,$0.00,$0.38,3.21,$722.87 mil
https://www.reit.com/investing/reit-directory/first-industrial-realty-trust-inc,"First Industrial Realty Trust, Inc.",FR,"Chicago, Illinois",Industrial,N/A,up,1.73,0.06%,REIT,Public,Industrial,Equity,FR,"New York Stock Exchange, Inc. (NYSE)",$32.40,$32.34 - $31.75,"987,530","581,062",$33.87 - $27.75,$0.00,$0.22,2.69,$205.48 mil
https://www.reit.com/investing/reit-directory/rpai,RPAI,RPAI,"Oak Brook, Illinois",Retail,$14.00,up,1.33,0.12%,REIT,Public,Retail,Equity,RPAI,"New York Stock Exchange, Inc. (NYSE)",$12.86,$12.97 - $12.75,"3,218,066","1,717,581",$13.66 - $10.92,$3.02 bil,$0.17,5.15,$588.56 mil
https://www.reit.com/investing/reit-directory/american-assets-trust,American Assets Trust,AAT,"San Diego, California",Diversified,$42.17,up,6.18,0.17%,REIT,Public,Diversified,Equity,AAT,"New York Stock Exchange, Inc. (NYSE)",$42.81,$42.85 - $42.14,"149,847","247,893",$42.81 - $31.72,$1.99 bil,$0.27,2.62,$139.11 mil
https://www.reit.com/investing/reit-directory/realty-income-corporation,Realty Income Corporation,O,"San Diego, California",Retail,$66.99,up,6.41,0.11%,REIT,Public,Retail,Equity,O,"New York Stock Exchange, Inc. (NYSE)",$66.21,$66.42 - $65.40,"3,591,416","2,422,648",$66.21 - $47.56,$19.77 bil,,4.00,$849.85 mil
https://www.reit.com/investing/reit-directory/potlatchdeltic-corp,PotlatchDeltic Corp.,PCH,"Spokane, Washington",Timberlands,$46.45,up,1.39,0.04%,REIT,Public,Timberlands,Equity,PCH,NASDAQ (NASDAQ),$37.54,$37.49 - $35.28,"741,169","612,823",$55.50 - $34.31,$2.91 bil,$3.54,4.26,$154.56 mil
https://www.reit.com/investing/reit-directory/agree-realty-corporation,Agree Realty Corporation,ADC,"Bloomfield Hills, Michigan",Retail,$62.80,up,5.93,0.11%,REIT,Public,Retail,Equity,ADC,"New York Stock Exchange, Inc. (NYSE)",$62.39,$62.68 - $61.62,"259,628","292,485",$62.39 - $44.27,$2.17 bil,$0.54,3.56,$79.49 mil
https://www.reit.com/investing/reit-directory/vornado-realty-trust,Vornado Realty Trust,VNO,"New York, New York",Diversified,$75.32,up,4.86,0.07%,REIT,Public,Diversified,Equity,VNO,"New York Stock Exchange, Inc. (NYSE)",$71.97,$71.90 - $70.41,"819,319","1,142,717",$97.03 - $65.01,$14.33 bil,$0.63,3.50,"$1,328.15 mil"
https://www.reit.com/investing/reit-directory/omega-healthcare-investors-inc,"Omega Healthcare Investors, Inc.",OHI,"Hunt Valley, Maryland",Health care,$37.80,up,5.14,0.16%,REIT,Public,Health care,Equity,OHI,"New York Stock Exchange, Inc. (NYSE)",$38.11,$38.08 - $36.99,"3,099,057","2,575,991",$38.21 - $25.36,$7.59 bil,$0.66,6.93,$677.60 mil
https://www.reit.com/investing/reit-directory/essential-properties-realty-trust-inc,"Essential Properties Realty Trust, Inc.",EPRT,"Princeton, New Jersey",Retail,$15.00,up,1.23,0.09%,REIT,Public,Retail,Equity,EPRT,"New York Stock Exchange, Inc. (NYSE)",$14.65,$14.69 - $14.52,"618,474","624,569",$14.65 - $0.00,$942.08 mil,$0.22,6.12,$20.65 mil
https://www.reit.com/investing/reit-directory/digital-realty,Digital Realty,DLR,"San Francisco, California",Data centers,$117.50,up,1.22,0.01%,REIT,Public,Data centers,Equity,DLR,"New York Stock Exchange, Inc. (NYSE)",$116.90,$117.44 - $114.93,"916,419","1,650,360",$126.04 - $97.95,$24.24 bil,$1.01,3.46,"$1,266.82 mil"
https://www.reit.com/investing/reit-directory/site-centers-corp,SITE Centers Corp.,SITC,"Beachwood, Ohio",Retail,$13.25,up,1.37,0.12%,REIT,Public,Retail,Equity,SITC,"New York Stock Exchange, Inc. (NYSE)",$13.04,$13.06 - $12.81,"2,226,115","1,502,156",$21.58 - $11.22,$2.45 bil,$0.20,6.13,$620.12 mil
https://www.reit.com/investing/reit-directory/rlj-lodging-trust,RLJ Lodging Trust,RLJ,"Bethesda, Maryland",Lodging / Resorts,$22.38,up,1.19,0.06%,REIT,Public,Lodging/Resorts,Equity,RLJ,"New York Stock Exchange, Inc. (NYSE)",$20.00,$20.03 - $19.46,"2,646,317","1,303,041",$23.82 - $18.68,$3.92 bil,$0.33,6.60,$313.31 mil
