type,value,change,time
All REITs,$206.34,-1.23%,2018-12-08T16:30:00-05:00
Composite,$201.66,-1.25%,2018-12-08T16:30:00-05:00
All Equity REITs,$689.08,-1.32%,2018-12-08T16:30:00-05:00
Industrial,$309.45,-1.70%,2018-12-08T16:30:00-05:00
Office,$333.26,-1.49%,2018-12-08T16:30:00-05:00
Retail,$292.69,-0.89%,2018-12-08T16:30:00-05:00
Shopping Centers,$187.54,-0.92%,2018-12-08T16:30:00-05:00
Regional Malls,$415.69,-1.01%,2018-12-08T16:30:00-05:00
Free Standing,$408.39,-0.65%,2018-12-08T16:30:00-05:00
Residential,$439.97,-0.98%,2018-12-08T16:30:00-05:00
Apartments,$425.52,-1.20%,2018-12-08T16:30:00-05:00
Manufactured Homes,$484.30,0.06%,2018-12-08T16:30:00-05:00
Diversified,$150.62,-1.20%,2018-12-08T16:30:00-05:00
Lodging/Resorts,$101.10,-2.17%,2018-12-08T16:30:00-05:00
Health Care,$286.80,-1.03%,2018-12-08T16:30:00-05:00
Self Storage,"$1,232.46",-0.93%,2018-12-08T16:30:00-05:00
Timber,$128.63,-5.12%,2018-12-08T16:30:00-05:00
Infrastructure,$243.02,-1.12%,2018-12-08T16:30:00-05:00
Equity REITs,$660.64,-1.23%,2018-12-08T16:30:00-05:00
Real Estate 50,$301.08,-1.26%,2018-12-08T16:30:00-05:00
Mortgage REITs,$5.33,-0.19%,2018-12-08T16:30:00-05:00
Home Financing,$52.61,0.03%,2018-12-08T16:30:00-05:00
Commercial Financing,$23.84,-0.80%,2018-12-08T16:30:00-05:00
FTSE RAFI US 100 Real Estate Index,"$4,927.97",-1.20%,2018-12-08T16:30:00-05:00
